@relation 'AT: Adult-Income-weka.filters.unsupervised.instance.RemovePercentage-P10.0-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R105-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-R11-86-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.EM -I 100 -N -1 -X 2 -max -1 -ll-cv 1.0E-6 -ll-iter 1.0E-6 -M 1.0E-6 -num-slots 4 -S 100-weka.filters.unsupervised.attribute.Remove-R1-10-weka.filters.unsupervised.attribute.Reorder-Rlast-first'

@attribute cluster {cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19,cluster20}
@attribute class {<=50K,>50K}

@data
cluster3,<=50K
cluster5,>50K
cluster9,<=50K
cluster9,<=50K
cluster18,<=50K
cluster10,<=50K
cluster19,<=50K
cluster6,<=50K
cluster10,<=50K
cluster5,>50K
cluster16,>50K
cluster13,<=50K
cluster16,>50K
cluster1,>50K
cluster8,<=50K
cluster20,<=50K
cluster7,<=50K
cluster19,>50K
cluster2,>50K
cluster19,<=50K
cluster1,>50K
cluster19,<=50K
cluster16,>50K
cluster18,>50K
cluster2,>50K
cluster20,<=50K
cluster19,<=50K
cluster16,<=50K
cluster6,<=50K
cluster20,<=50K
cluster3,<=50K
cluster3,<=50K
cluster13,<=50K
cluster9,<=50K
cluster2,<=50K
cluster4,<=50K
cluster11,<=50K
cluster3,<=50K
cluster1,<=50K
cluster2,<=50K
cluster9,<=50K
cluster19,<=50K
cluster4,<=50K
cluster7,<=50K
cluster16,<=50K
cluster15,<=50K
cluster6,<=50K
cluster8,<=50K
cluster1,>50K
cluster10,<=50K
cluster16,<=50K
cluster1,<=50K
cluster20,<=50K
cluster16,>50K
cluster10,<=50K
cluster5,>50K
cluster15,<=50K
cluster9,>50K
cluster20,<=50K
cluster10,<=50K
cluster4,<=50K
cluster6,<=50K
cluster19,<=50K
cluster15,<=50K
cluster7,<=50K
cluster6,<=50K
cluster6,<=50K
cluster19,<=50K
cluster4,>50K
cluster6,<=50K
cluster8,>50K
cluster2,<=50K
cluster2,<=50K
cluster8,<=50K
cluster15,<=50K
cluster3,<=50K
cluster17,<=50K
cluster9,<=50K
cluster11,<=50K
cluster5,>50K
cluster14,>50K
cluster4,<=50K
cluster19,<=50K
cluster15,<=50K
cluster4,>50K
cluster13,<=50K
cluster2,<=50K
cluster13,<=50K
cluster2,<=50K
cluster12,<=50K
cluster2,<=50K
cluster15,<=50K
cluster20,<=50K
cluster19,<=50K
cluster12,>50K
cluster16,<=50K
cluster6,<=50K
cluster2,>50K
cluster20,<=50K
cluster3,<=50K
cluster17,<=50K
cluster13,<=50K
cluster17,<=50K
cluster12,<=50K
cluster12,<=50K
cluster6,>50K
cluster9,>50K
cluster13,<=50K
cluster19,<=50K
cluster4,<=50K
cluster17,<=50K
cluster4,<=50K
cluster15,<=50K
cluster6,<=50K
cluster18,>50K
cluster14,>50K
cluster20,<=50K
cluster16,<=50K
cluster1,<=50K
cluster14,>50K
cluster20,<=50K
cluster16,<=50K
cluster20,<=50K
cluster9,<=50K
cluster9,<=50K
cluster5,>50K
cluster13,<=50K
cluster15,<=50K
cluster2,<=50K
cluster5,<=50K
cluster4,>50K
cluster11,<=50K
cluster13,<=50K
cluster4,>50K
cluster15,<=50K
cluster9,>50K
cluster2,>50K
cluster6,<=50K
cluster6,<=50K
cluster1,>50K
cluster19,<=50K
cluster20,<=50K
cluster9,>50K
cluster13,<=50K
cluster13,>50K
cluster16,<=50K
cluster19,<=50K
cluster9,>50K
cluster13,<=50K
cluster20,<=50K
cluster4,<=50K
cluster5,>50K
cluster13,<=50K
cluster16,<=50K
cluster20,<=50K
cluster9,>50K
cluster4,<=50K
cluster4,>50K
cluster19,<=50K
cluster10,<=50K
cluster14,>50K
cluster15,<=50K
cluster9,>50K
cluster9,>50K
cluster8,<=50K
cluster6,<=50K
cluster8,>50K
cluster13,<=50K
cluster1,<=50K
cluster9,<=50K
cluster2,<=50K
cluster11,<=50K
cluster16,<=50K
cluster7,<=50K
cluster6,<=50K
cluster2,<=50K
cluster15,<=50K
cluster16,>50K
cluster16,<=50K
cluster7,<=50K
cluster19,<=50K
cluster16,<=50K
cluster15,<=50K
cluster2,<=50K
cluster18,>50K
cluster13,<=50K
cluster18,<=50K
cluster13,<=50K
cluster8,<=50K
cluster5,>50K
cluster13,<=50K
cluster8,>50K
cluster16,<=50K
cluster8,<=50K
cluster10,<=50K
cluster20,<=50K
cluster10,<=50K
cluster16,>50K
cluster5,<=50K
cluster1,<=50K
cluster9,>50K
cluster13,<=50K
cluster20,<=50K
cluster2,<=50K
cluster2,<=50K
cluster6,<=50K
cluster6,<=50K
cluster5,<=50K
cluster2,<=50K
cluster6,<=50K
cluster11,<=50K
cluster18,>50K
cluster12,<=50K
cluster19,<=50K
cluster11,<=50K
cluster5,>50K
cluster19,<=50K
cluster5,<=50K
cluster8,<=50K
cluster15,<=50K
cluster8,<=50K
cluster5,>50K
cluster8,<=50K
cluster6,<=50K
cluster2,<=50K
cluster16,<=50K
cluster13,<=50K
cluster20,<=50K
cluster17,<=50K
cluster13,<=50K
cluster15,<=50K
cluster6,<=50K
cluster6,<=50K
cluster17,<=50K
cluster10,<=50K
cluster6,<=50K
cluster19,<=50K
cluster16,<=50K
cluster15,<=50K
cluster2,<=50K
cluster8,<=50K
cluster13,<=50K
cluster12,<=50K
cluster17,<=50K
cluster15,<=50K
cluster14,>50K
cluster2,<=50K
cluster13,<=50K
cluster15,<=50K
cluster6,<=50K
cluster13,<=50K
cluster2,<=50K
cluster6,<=50K
cluster16,<=50K
cluster13,<=50K
cluster14,>50K
cluster13,<=50K
cluster2,<=50K
cluster17,<=50K
cluster6,>50K
cluster16,>50K
cluster10,>50K
cluster20,<=50K
cluster14,<=50K
cluster15,<=50K
cluster2,<=50K
cluster6,<=50K
cluster16,<=50K
cluster2,<=50K
cluster2,<=50K
cluster8,<=50K
cluster4,<=50K
cluster3,<=50K
cluster13,<=50K
cluster9,<=50K
cluster8,<=50K
cluster18,<=50K
cluster15,<=50K
cluster16,<=50K
cluster11,>50K
cluster15,<=50K
cluster15,<=50K
cluster15,<=50K
cluster13,<=50K
cluster17,<=50K
cluster10,<=50K
cluster19,<=50K
cluster2,<=50K
cluster8,<=50K
cluster15,<=50K
cluster1,<=50K
cluster14,>50K
cluster19,<=50K
cluster12,<=50K
cluster14,>50K
cluster1,<=50K
cluster14,>50K
cluster16,<=50K
cluster13,<=50K
cluster14,>50K
cluster6,<=50K
cluster19,<=50K
cluster19,<=50K
cluster16,<=50K
cluster10,<=50K
cluster19,<=50K
cluster6,<=50K
cluster16,>50K
cluster5,>50K
cluster16,>50K
cluster10,>50K
cluster15,<=50K
cluster15,<=50K
cluster16,<=50K
cluster10,<=50K
cluster20,<=50K
cluster11,<=50K
cluster9,>50K
cluster15,<=50K
cluster19,<=50K
cluster16,<=50K
cluster2,<=50K
cluster9,<=50K
cluster2,<=50K
cluster13,<=50K
cluster11,<=50K
cluster11,<=50K
cluster7,<=50K
cluster6,<=50K
cluster11,>50K
cluster5,<=50K
cluster19,<=50K
cluster4,<=50K
cluster19,<=50K
cluster10,>50K
cluster4,>50K
cluster2,<=50K
cluster13,<=50K
cluster19,<=50K
cluster13,<=50K
cluster9,<=50K
cluster2,<=50K
cluster10,>50K
cluster13,<=50K
cluster8,<=50K
cluster13,<=50K
cluster9,<=50K
cluster15,<=50K
cluster8,<=50K
cluster5,<=50K
cluster16,>50K
cluster10,<=50K
cluster2,<=50K
cluster16,>50K
cluster9,<=50K
cluster10,>50K
cluster4,<=50K
cluster14,<=50K
cluster16,<=50K
cluster3,<=50K
cluster16,>50K
cluster9,>50K
cluster20,<=50K
cluster1,<=50K
cluster2,>50K
cluster16,>50K
cluster10,<=50K
cluster13,<=50K
cluster16,<=50K
cluster2,>50K
cluster5,>50K
cluster1,<=50K
cluster14,>50K
cluster20,<=50K
cluster16,>50K
cluster14,>50K
cluster3,<=50K
cluster4,>50K
cluster1,<=50K
cluster20,<=50K
cluster16,>50K
cluster4,>50K
cluster2,<=50K
cluster12,<=50K
cluster8,<=50K
cluster20,<=50K
cluster13,<=50K
cluster2,<=50K
cluster1,>50K
cluster10,<=50K
cluster17,<=50K
cluster1,<=50K
cluster16,>50K
cluster16,<=50K
cluster2,<=50K
cluster8,>50K
cluster5,>50K
cluster11,<=50K
cluster14,>50K
cluster16,>50K
cluster9,>50K
cluster13,<=50K
cluster19,<=50K
cluster2,<=50K
cluster13,<=50K
cluster10,>50K
cluster6,<=50K
cluster2,<=50K
cluster2,<=50K
cluster4,>50K
cluster2,<=50K
cluster11,<=50K
cluster9,>50K
cluster12,<=50K
cluster4,>50K
cluster6,<=50K
cluster11,<=50K
cluster14,>50K
cluster6,<=50K
cluster15,<=50K
cluster13,>50K
cluster8,<=50K
cluster12,<=50K
cluster4,>50K
cluster6,<=50K
cluster11,>50K
cluster20,<=50K
cluster15,<=50K
cluster10,<=50K
cluster16,>50K
cluster5,>50K
cluster16,<=50K
cluster10,<=50K
cluster16,<=50K
cluster4,<=50K
cluster8,<=50K
cluster14,<=50K
cluster8,>50K
cluster15,<=50K
cluster4,<=50K
cluster17,<=50K
cluster16,<=50K
cluster13,>50K
cluster16,>50K
cluster1,>50K
cluster6,<=50K
cluster6,<=50K
cluster17,<=50K
cluster5,<=50K
cluster19,<=50K
cluster1,<=50K
cluster17,<=50K
cluster3,<=50K
cluster10,>50K
cluster2,<=50K
cluster16,<=50K
cluster15,<=50K
cluster8,<=50K
cluster10,<=50K
cluster16,<=50K
cluster12,<=50K
cluster19,<=50K
cluster19,>50K
cluster6,<=50K
cluster18,<=50K
cluster10,<=50K
cluster16,<=50K
cluster11,<=50K
cluster13,<=50K
cluster18,>50K
cluster2,<=50K
cluster20,<=50K
cluster9,>50K
cluster13,<=50K
cluster18,<=50K
cluster11,<=50K
cluster17,<=50K
cluster17,<=50K
cluster10,<=50K
cluster12,<=50K
cluster13,>50K
cluster10,>50K
cluster1,<=50K
cluster16,>50K
cluster18,>50K
cluster15,<=50K
cluster20,<=50K
cluster10,>50K
cluster16,>50K
cluster20,<=50K
cluster16,<=50K
cluster2,<=50K
cluster13,<=50K
cluster2,<=50K
cluster9,<=50K
cluster16,<=50K
cluster18,>50K
cluster16,<=50K
cluster13,<=50K
cluster13,<=50K
cluster13,<=50K
cluster6,<=50K
cluster16,<=50K
cluster15,<=50K
cluster14,>50K
cluster10,>50K
cluster19,<=50K
cluster16,>50K
cluster6,<=50K
cluster1,>50K
cluster4,>50K
cluster1,>50K
cluster6,<=50K
cluster16,>50K
cluster16,<=50K
cluster13,<=50K
cluster17,<=50K
cluster1,<=50K
cluster18,>50K
cluster10,>50K
cluster1,<=50K
cluster8,<=50K
cluster4,<=50K
cluster4,>50K
cluster10,<=50K
cluster3,<=50K
cluster6,<=50K
cluster2,<=50K
cluster1,<=50K
cluster2,<=50K
cluster6,<=50K
cluster5,<=50K
cluster10,<=50K
cluster6,<=50K
cluster16,<=50K
cluster19,<=50K
cluster2,<=50K
cluster12,<=50K
cluster13,<=50K
cluster19,<=50K
cluster12,<=50K
cluster2,<=50K
cluster17,<=50K
cluster2,<=50K
cluster16,>50K
cluster13,<=50K
cluster12,<=50K
cluster18,<=50K
cluster5,<=50K
cluster15,<=50K
cluster18,>50K
cluster4,>50K
cluster2,<=50K
cluster6,<=50K
cluster9,>50K
cluster20,<=50K
cluster5,<=50K
cluster16,>50K
cluster14,<=50K
cluster13,<=50K
cluster4,>50K
cluster13,<=50K
cluster9,>50K
cluster15,<=50K
cluster16,<=50K
cluster5,<=50K
cluster2,>50K
cluster9,<=50K
cluster19,<=50K
cluster13,<=50K
cluster9,>50K
cluster20,<=50K
cluster6,<=50K
cluster15,<=50K
cluster17,<=50K
cluster13,<=50K
cluster1,<=50K
cluster20,<=50K
cluster2,<=50K
cluster2,<=50K
cluster16,<=50K
cluster19,<=50K
cluster15,<=50K
cluster4,<=50K
cluster2,<=50K
cluster9,<=50K
cluster15,<=50K
cluster9,>50K
cluster15,<=50K
cluster17,<=50K
cluster5,<=50K
cluster15,<=50K
cluster20,<=50K
cluster6,<=50K
cluster2,<=50K
cluster2,<=50K
cluster17,<=50K
cluster4,<=50K
cluster9,>50K
cluster4,<=50K
cluster2,<=50K
cluster2,<=50K
cluster16,>50K
cluster8,>50K
cluster13,<=50K
cluster12,<=50K
cluster17,<=50K
cluster15,<=50K
cluster16,<=50K
cluster10,<=50K
cluster19,<=50K
cluster2,<=50K
cluster9,>50K
cluster17,<=50K
cluster9,<=50K
cluster2,>50K
cluster15,<=50K
cluster13,<=50K
cluster9,<=50K
cluster20,<=50K
cluster16,<=50K
cluster10,<=50K
cluster19,>50K
cluster4,<=50K
cluster16,<=50K
cluster11,>50K
cluster17,<=50K
cluster6,<=50K
cluster5,<=50K
cluster4,<=50K
cluster6,<=50K
cluster15,<=50K
cluster19,<=50K
cluster16,<=50K
cluster16,<=50K
cluster20,<=50K
cluster18,>50K
cluster2,<=50K
cluster4,>50K
cluster8,<=50K
cluster19,<=50K
cluster20,<=50K
cluster8,<=50K
cluster13,<=50K
cluster7,<=50K
cluster15,<=50K
cluster10,<=50K
cluster8,<=50K
cluster16,>50K
cluster1,<=50K
cluster2,<=50K
cluster2,<=50K
cluster2,<=50K
cluster6,<=50K
cluster13,<=50K
cluster15,<=50K
cluster19,<=50K
cluster13,<=50K
cluster6,<=50K
cluster4,<=50K
cluster7,<=50K
cluster2,<=50K
cluster12,<=50K
cluster19,<=50K
cluster2,>50K
cluster2,<=50K
cluster19,<=50K
cluster10,<=50K
cluster2,<=50K
cluster9,>50K
cluster19,<=50K
cluster7,<=50K
cluster15,<=50K
cluster19,<=50K
cluster11,<=50K
cluster2,>50K
cluster16,<=50K
cluster13,<=50K
cluster9,<=50K
cluster12,<=50K
cluster18,>50K
cluster6,<=50K
cluster1,<=50K
cluster13,<=50K
cluster4,>50K
cluster7,<=50K
cluster9,>50K
cluster2,<=50K
cluster15,<=50K
cluster20,<=50K
cluster10,>50K
cluster6,<=50K
cluster4,<=50K
cluster15,<=50K
cluster20,<=50K
cluster19,<=50K
cluster18,>50K
cluster13,<=50K
cluster16,<=50K
cluster13,<=50K
cluster6,<=50K
cluster9,>50K
cluster16,<=50K
cluster2,<=50K
cluster17,<=50K
cluster12,<=50K
cluster2,<=50K
cluster10,>50K
cluster16,<=50K
cluster16,<=50K
cluster17,<=50K
cluster20,<=50K
cluster20,<=50K
cluster20,<=50K
cluster6,<=50K
cluster10,<=50K
cluster2,<=50K
cluster13,<=50K
cluster15,<=50K
cluster6,<=50K
cluster15,<=50K
cluster6,<=50K
cluster4,<=50K
cluster13,<=50K
cluster20,<=50K
cluster12,<=50K
cluster10,<=50K
cluster7,<=50K
cluster12,<=50K
cluster18,>50K
cluster15,<=50K
cluster10,>50K
cluster8,>50K
cluster17,<=50K
cluster7,>50K
cluster2,<=50K
cluster11,>50K
cluster10,<=50K
cluster6,<=50K
cluster8,<=50K
cluster11,<=50K
cluster13,<=50K
cluster16,<=50K
cluster13,<=50K
cluster10,<=50K
cluster2,<=50K
cluster14,>50K
cluster16,<=50K
cluster12,<=50K
cluster13,<=50K
cluster2,<=50K
cluster17,<=50K
cluster8,>50K
cluster19,<=50K
cluster9,>50K
cluster1,<=50K
cluster2,<=50K
cluster16,<=50K
cluster6,<=50K
cluster10,<=50K
cluster2,<=50K
cluster20,<=50K
cluster13,>50K
cluster16,>50K
cluster18,>50K
cluster8,<=50K
cluster17,<=50K
cluster13,<=50K
cluster19,<=50K
cluster6,<=50K
cluster10,<=50K
cluster17,<=50K
cluster15,<=50K
cluster14,>50K
cluster14,>50K
cluster12,<=50K
cluster16,>50K
cluster13,<=50K
cluster8,<=50K
cluster17,<=50K
cluster8,>50K
cluster10,<=50K
cluster16,<=50K
cluster17,<=50K
cluster8,<=50K
cluster15,<=50K
cluster20,<=50K
cluster2,<=50K
cluster13,<=50K
cluster15,<=50K
cluster13,<=50K
cluster18,<=50K
cluster14,>50K
cluster6,<=50K
cluster6,<=50K
cluster20,<=50K
cluster5,>50K
cluster6,<=50K
cluster6,<=50K
cluster10,<=50K
cluster10,<=50K
cluster19,<=50K
cluster15,<=50K
cluster6,<=50K
cluster1,<=50K
cluster18,>50K
cluster10,<=50K
cluster11,>50K
cluster2,>50K
cluster20,<=50K
cluster19,<=50K
cluster16,<=50K
cluster16,<=50K
cluster13,<=50K
cluster16,<=50K
cluster14,>50K
cluster14,<=50K
cluster9,>50K
cluster13,<=50K
cluster1,<=50K
cluster15,<=50K
cluster13,<=50K
cluster15,<=50K
cluster4,>50K
cluster9,<=50K
cluster20,<=50K
cluster1,<=50K
cluster20,>50K
cluster10,>50K
cluster7,>50K
cluster2,>50K
cluster16,<=50K
cluster16,<=50K
cluster1,<=50K
cluster2,<=50K
cluster11,>50K
cluster11,>50K
cluster14,>50K
cluster8,>50K
cluster10,<=50K
cluster17,<=50K
cluster6,<=50K
cluster17,<=50K
cluster16,<=50K
cluster15,<=50K
cluster9,>50K
cluster4,>50K
cluster20,<=50K
cluster19,<=50K
cluster14,>50K
cluster8,>50K
cluster10,>50K
cluster16,>50K
cluster6,<=50K
cluster13,<=50K
cluster9,<=50K
cluster6,<=50K
cluster19,<=50K
cluster17,<=50K
cluster19,<=50K
cluster4,>50K
cluster16,<=50K
cluster15,<=50K
cluster8,<=50K
cluster9,>50K
cluster13,<=50K
cluster13,<=50K
cluster8,<=50K
cluster14,<=50K
cluster16,>50K
cluster2,<=50K
cluster16,<=50K
cluster2,<=50K
cluster19,<=50K
cluster2,<=50K
cluster2,<=50K
cluster5,<=50K
cluster9,>50K
cluster10,<=50K
cluster17,<=50K
cluster10,<=50K
cluster13,<=50K
cluster13,<=50K
cluster13,<=50K
cluster6,<=50K
cluster15,<=50K
cluster16,<=50K
cluster19,<=50K
cluster15,<=50K
cluster6,<=50K
cluster2,<=50K
cluster15,<=50K
cluster9,>50K
cluster6,<=50K
cluster13,<=50K
cluster15,<=50K
cluster9,>50K
cluster6,<=50K
cluster4,>50K
cluster4,>50K
cluster10,<=50K
cluster11,>50K
cluster13,<=50K
cluster20,<=50K
cluster11,<=50K
cluster6,<=50K
cluster10,<=50K
cluster4,<=50K
cluster10,<=50K
cluster13,<=50K
cluster2,<=50K
cluster5,<=50K
cluster19,<=50K
cluster15,<=50K
cluster19,<=50K
cluster18,<=50K
cluster11,>50K
cluster20,<=50K
cluster9,>50K
cluster9,>50K
cluster18,>50K
cluster13,<=50K
cluster13,<=50K
cluster16,<=50K
cluster14,<=50K
cluster2,<=50K
cluster2,>50K
cluster16,>50K
cluster8,<=50K
cluster13,<=50K
cluster16,<=50K
cluster10,<=50K
cluster14,>50K
cluster16,>50K
cluster10,<=50K
cluster5,<=50K
cluster11,>50K
cluster2,<=50K
cluster16,<=50K
cluster20,<=50K
cluster9,<=50K
cluster16,>50K
cluster16,<=50K
cluster6,<=50K
cluster12,<=50K
cluster16,<=50K
cluster18,>50K
cluster15,<=50K
cluster4,>50K
cluster14,<=50K
cluster2,<=50K
cluster17,<=50K
cluster17,>50K
cluster16,<=50K
cluster19,<=50K
cluster9,<=50K
cluster18,>50K
cluster2,<=50K
cluster9,>50K
cluster17,<=50K
cluster10,<=50K
cluster18,>50K
cluster5,>50K
cluster10,<=50K
cluster13,<=50K
cluster9,>50K
cluster2,<=50K
cluster11,<=50K
cluster16,>50K
cluster16,>50K
cluster17,<=50K
cluster16,<=50K
cluster9,<=50K
cluster1,<=50K
cluster18,<=50K
cluster6,<=50K
cluster2,>50K
cluster4,<=50K
cluster3,<=50K
cluster9,>50K
cluster8,<=50K
cluster9,>50K
cluster16,<=50K
cluster1,>50K
cluster4,>50K
cluster6,<=50K
cluster5,>50K
cluster19,<=50K
cluster18,>50K
cluster2,>50K
cluster16,<=50K
cluster1,<=50K
cluster16,<=50K
cluster1,<=50K
cluster20,<=50K
cluster2,<=50K
cluster19,<=50K
cluster20,<=50K
cluster16,<=50K
cluster15,<=50K
cluster8,<=50K
cluster16,<=50K
cluster9,<=50K
cluster15,<=50K
cluster2,<=50K
cluster16,<=50K
cluster15,<=50K
cluster16,>50K
cluster1,<=50K
cluster20,<=50K
cluster19,<=50K
cluster16,<=50K
cluster5,<=50K
cluster8,>50K
cluster10,<=50K
cluster6,<=50K
cluster6,<=50K
cluster13,<=50K
cluster2,<=50K
cluster11,<=50K
cluster1,<=50K
cluster20,<=50K
cluster10,<=50K
cluster20,<=50K
cluster1,<=50K
cluster8,>50K
cluster12,<=50K
cluster10,<=50K
cluster6,<=50K
cluster13,<=50K
cluster4,<=50K
cluster16,>50K
cluster16,>50K
cluster16,<=50K
cluster17,<=50K
cluster13,<=50K
cluster10,<=50K
cluster16,>50K
cluster19,<=50K
cluster11,>50K
cluster19,<=50K
cluster20,>50K
cluster13,<=50K
cluster1,<=50K
cluster20,<=50K
cluster18,>50K
cluster20,<=50K
cluster13,<=50K
cluster9,<=50K
cluster9,>50K
cluster9,>50K
cluster16,>50K
cluster6,<=50K
cluster2,<=50K
cluster3,<=50K
cluster3,<=50K
cluster14,>50K
cluster20,<=50K
cluster2,>50K
cluster4,>50K
cluster13,<=50K
cluster20,<=50K
cluster20,<=50K
cluster13,<=50K
cluster10,<=50K
cluster13,<=50K
cluster2,<=50K
cluster8,>50K
cluster15,<=50K
cluster4,<=50K
cluster12,<=50K
cluster17,<=50K
cluster16,<=50K
cluster10,<=50K
cluster5,<=50K
cluster19,<=50K
cluster13,<=50K
cluster4,>50K
cluster20,<=50K
cluster19,<=50K
cluster4,<=50K
cluster13,<=50K
cluster12,<=50K
cluster2,<=50K
cluster17,<=50K
cluster19,<=50K
cluster5,<=50K
cluster19,<=50K
cluster12,<=50K
cluster16,>50K
cluster10,<=50K
cluster2,<=50K
cluster19,<=50K
cluster1,<=50K
cluster1,<=50K
cluster20,<=50K
cluster19,<=50K
cluster9,>50K
cluster4,<=50K
cluster9,>50K
cluster11,<=50K
cluster15,<=50K
cluster4,<=50K
cluster9,<=50K
cluster17,<=50K
cluster4,>50K
cluster15,<=50K
cluster15,<=50K
cluster18,<=50K
cluster16,>50K
cluster13,<=50K
cluster19,<=50K
cluster10,<=50K
cluster18,>50K
cluster6,<=50K
cluster12,<=50K
cluster12,<=50K
cluster18,>50K
cluster16,>50K
cluster19,<=50K
cluster17,<=50K
cluster2,<=50K
cluster8,<=50K
cluster2,<=50K
cluster6,<=50K
cluster18,>50K
cluster16,>50K
cluster9,<=50K
cluster19,<=50K
cluster16,<=50K
cluster13,<=50K
cluster20,<=50K
cluster13,>50K
cluster13,<=50K
cluster19,<=50K
cluster16,<=50K
cluster9,<=50K
cluster10,>50K
cluster6,<=50K
cluster20,<=50K
cluster16,<=50K
cluster16,<=50K
cluster16,>50K
cluster3,<=50K
cluster13,<=50K
cluster16,<=50K
cluster9,<=50K
cluster12,<=50K
cluster20,<=50K
cluster13,<=50K
cluster16,<=50K
cluster15,<=50K
cluster8,<=50K
cluster15,<=50K
cluster12,<=50K
cluster11,<=50K
cluster19,<=50K
cluster16,<=50K
cluster16,<=50K
cluster14,<=50K
cluster17,<=50K
cluster16,<=50K
cluster4,<=50K
cluster9,<=50K
cluster10,<=50K
cluster7,<=50K
cluster15,<=50K
cluster16,<=50K
cluster20,<=50K
cluster6,<=50K
cluster5,<=50K
cluster8,<=50K
cluster13,<=50K
cluster2,>50K
cluster2,<=50K
cluster1,<=50K
cluster10,<=50K
cluster2,>50K
cluster17,<=50K
cluster16,<=50K
cluster13,<=50K
cluster9,>50K
cluster20,<=50K
cluster6,>50K
cluster8,>50K
cluster15,<=50K
cluster2,<=50K
cluster8,<=50K
cluster6,<=50K
cluster8,>50K
cluster4,<=50K
cluster4,>50K
cluster11,<=50K
cluster2,<=50K
cluster12,<=50K
cluster5,<=50K
cluster6,<=50K
cluster20,<=50K
cluster8,>50K
cluster8,<=50K
cluster8,<=50K
cluster17,<=50K
cluster2,<=50K
cluster9,<=50K
cluster14,>50K
cluster6,<=50K
cluster12,<=50K
cluster1,>50K
cluster8,>50K
cluster10,>50K
cluster19,<=50K
cluster5,>50K
cluster16,<=50K
cluster11,<=50K
cluster10,<=50K
cluster11,>50K
cluster15,<=50K
cluster19,<=50K
cluster6,<=50K
cluster16,<=50K
cluster16,<=50K
cluster15,<=50K
cluster20,>50K
cluster19,<=50K
cluster12,<=50K
cluster1,>50K
cluster20,<=50K
cluster5,>50K
cluster8,<=50K
cluster4,<=50K
cluster20,<=50K
cluster4,<=50K
cluster1,<=50K
cluster5,<=50K
cluster16,<=50K
cluster20,>50K
cluster8,<=50K
cluster1,<=50K
cluster8,<=50K
cluster16,<=50K
cluster13,<=50K
cluster2,<=50K
cluster20,>50K
cluster9,<=50K
cluster20,<=50K
cluster2,>50K
cluster6,<=50K
cluster18,>50K
cluster16,<=50K
cluster13,<=50K
cluster18,>50K
cluster12,<=50K
cluster16,<=50K
cluster13,<=50K
cluster16,>50K
cluster8,<=50K
cluster13,<=50K
cluster15,<=50K
cluster19,<=50K
cluster9,>50K
cluster12,<=50K
cluster6,<=50K
cluster12,<=50K
cluster20,<=50K
cluster20,<=50K
cluster16,<=50K
cluster19,<=50K
cluster10,<=50K
cluster18,<=50K
cluster3,<=50K
cluster15,<=50K
cluster14,>50K
cluster9,<=50K
cluster13,>50K
cluster10,<=50K
cluster7,>50K
cluster8,>50K
cluster9,<=50K
cluster16,<=50K
cluster11,>50K
cluster10,<=50K
cluster15,<=50K
cluster13,<=50K
cluster17,<=50K
cluster6,<=50K
cluster2,<=50K
cluster8,>50K
cluster9,>50K
cluster20,<=50K
cluster4,>50K
cluster20,<=50K
cluster4,>50K
cluster2,>50K
cluster4,<=50K
cluster2,<=50K
cluster9,>50K
cluster10,<=50K
cluster20,<=50K
cluster10,<=50K
cluster8,>50K
cluster15,<=50K
cluster4,<=50K
cluster6,<=50K
cluster10,<=50K
cluster16,>50K
cluster10,<=50K
cluster5,<=50K
cluster12,<=50K
cluster6,<=50K
cluster6,<=50K
cluster12,<=50K
cluster18,>50K
cluster12,<=50K
cluster17,<=50K
cluster20,<=50K
cluster19,<=50K
cluster13,<=50K
cluster2,<=50K
cluster4,<=50K
cluster20,<=50K
cluster8,<=50K
cluster2,<=50K
cluster2,<=50K
cluster20,<=50K
cluster2,>50K
cluster6,<=50K
cluster4,<=50K
cluster11,<=50K
cluster13,<=50K
cluster8,<=50K
cluster17,<=50K
cluster11,>50K
cluster16,>50K
cluster15,<=50K
cluster16,<=50K
cluster6,<=50K
cluster10,>50K
cluster17,<=50K
cluster10,>50K
cluster3,<=50K
cluster4,<=50K
cluster9,>50K
cluster19,<=50K
cluster14,>50K
cluster8,<=50K
cluster8,<=50K
cluster20,<=50K
cluster17,<=50K
cluster14,>50K
cluster16,<=50K
cluster17,<=50K
cluster19,<=50K
cluster2,<=50K
cluster13,<=50K
cluster4,<=50K
cluster20,<=50K
cluster13,<=50K
cluster19,<=50K
cluster16,<=50K
cluster15,<=50K
cluster12,<=50K
cluster6,<=50K
cluster20,<=50K
cluster15,<=50K
cluster16,<=50K
cluster2,<=50K
cluster10,<=50K
cluster19,<=50K
cluster10,<=50K
cluster16,>50K
cluster20,<=50K
cluster6,<=50K
cluster19,<=50K
cluster9,>50K
cluster12,<=50K
cluster8,>50K
cluster13,<=50K
cluster14,>50K
cluster4,>50K
cluster4,<=50K
cluster9,>50K
cluster10,<=50K
cluster14,>50K
cluster14,>50K
cluster15,<=50K
